metabolite,Super pathway,Sub pathway,Kegg pathways,Kegg pathway classes,Chemical family
glycerol,Lipid,Glycerolipid Metabolism,Galactose metabolism;Regulation of lipolysis in adipocytes;Retrograde endocannabinoid signaling;Glycerolipid metabolism;ABC transporters;Pentose and glucuronate interconversions;Thermogenesis,Endocrine system;Environmental adaptation;Membrane transport;Nervous system;Lipid metabolism;Carbohydrate metabolism,Organooxygen compounds
glycerol 3-phosphate,Lipid,Glycerolipid Metabolism,,,Glycerophospholipids
glycerophosphoethanolamine,Lipid,Phospholipid Metabolism,,,Glycerophospholipids
glycerophosphoglycerol,Lipid,Glycerolipid Metabolism,,,Organic phosphoric acids and derivatives
glycerophosphorylcholine (GPC),Lipid,Phospholipid Metabolism,,,Glycerophospholipids
glycerophosphoserine*,Lipid,Phospholipid Metabolism,,,Glycerophospholipids
glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism","Porphyrin and chlorophyll metabolism;Mineral absorption;Glycine, serine and threonine metabolism;Primary bile acid biosynthesis;Biofilm formation - Escherichia coli;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Lysine degradation;Biosynthesis of various secondary metabolites - part 3;Cyanoamino acid metabolism;Biosynthesis of plant secondary metabolites;Vancomycin resistance;Central carbon metabolism in cancer;Thiamine metabolism;ABC transporters;Methane metabolism;Synaptic vesicle cycle;Phosphonate and phosphinate metabolism;Protein digestion and absorption;Purine metabolism;Glutathione metabolism;Glyoxylate and dicarboxylate metabolism;Neuroactive ligand-receptor interaction;Carbon metabolism",Signaling molecules and interaction;Amino acid metabolism;Cellular community - prokaryotes;Biosynthesis of other secondary metabolites;Translation;Nucleotide metabolism;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Nervous system;Global and overview maps;Lipid metabolism;Digestive system;Cancer: overview;Drug resistance: antimicrobial;Energy metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
glycine conjugate of C10H14O2 (1)*,Partially Characterized Molecules,Partially Characterized Molecules,,,
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),Lipid,Hexosylceramides (HCER),,,
glycylisoleucine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
glycylleucine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
glycylvaline,Peptide,Dipeptide,,,Carboxylic acids and derivatives
guaiacol sulfate,Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
guanidinoacetate,Amino Acid,Creatine Metabolism,"Glycine, serine and threonine metabolism;Arginine and proline metabolism",Amino acid metabolism,Carboxylic acids and derivatives
guanine,Nucleotide,"Purine Metabolism, Guanine containing",Purine metabolism,Nucleotide metabolism,Imidazopyrimidines
guanosine,Nucleotide,"Purine Metabolism, Guanine containing",,,Purine nucleosides
5'- GMP,Nucleotide,"Purine Metabolism, Guanine containing",,,Purine nucleotides
gulonate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,,,Hydroxy acids and derivatives
heptadecasphingosine (d17:1),Lipid,Sphingosines,,,Organonitrogen compounds
heptenedioate (C7:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",,,
hexadecasphingosine (d16:1)*,Lipid,Sphingosines,,,Organonitrogen compounds
hexanoylcarnitine (C6),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",,,Fatty Acyls
hexanoylglutamine,Lipid,Fatty Acid Metabolism (Acyl Glutamine),,,Carboxylic acids and derivatives
hexanoylglycine (C6),Lipid,Fatty Acid Metabolism (Acyl Glycine),,,Carboxylic acids and derivatives
hippurate,Xenobiotics,Benzoate Metabolism,Phenylalanine metabolism,Amino acid metabolism,Benzene and substituted derivatives
histamine,Amino Acid,Histidine Metabolism,Asthma;Fc epsilon RI signaling pathway;Biosynthesis of alkaloids derived from histidine and purine;Histidine metabolism;Histamine H2/H3 receptor agonists/antagonists;Inflammatory mediator regulation of TRP channels;Synaptic vesicle cycle;Protein digestion and absorption;Gastric acid secretion;Neuroactive ligand-receptor interaction,Signaling molecules and interaction;Amino acid metabolism;Chemical structure transformation maps;Target-based classification: G protein-coupled receptors;Immune system;Sensory system;Nervous system;Immune disease;Digestive system,Organonitrogen compounds
histidine,Amino Acid,Histidine Metabolism,Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Histidine metabolism;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;ABC transporters;beta-Alanine metabolism;Protein digestion and absorption;Staurosporine biosynthesis,Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Global and overview maps;Digestive system;Cancer: overview,Carboxylic acids and derivatives
histidine methyl ester,Amino Acid,Histidine Metabolism,,,Carboxylic acids and derivatives
homoarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
homostachydrine*,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
hydroquinone sulfate,Xenobiotics,Drug - Topical Agents,,,Organic sulfuric acids and derivatives
"hydroxy-N6,N6,N6-trimethyllysine*",Amino Acid,Lysine Metabolism,,,Carboxylic acids and derivatives
hydroxyasparagine,Amino Acid,Alanine and Aspartate Metabolism,,,Carboxylic acids and derivatives
hydroxybupropion,Xenobiotics,Drug - Psychoactive,,,Organooxygen compounds
hydroxycotinine,Xenobiotics,Tobacco Metabolite,,,Pyridines and derivatives
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH)),Lipid,Sphingomyelins,,,
hypotaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",Taurine and hypotaurine metabolism,Metabolism of other amino acids,Sulfinic acids and derivatives
hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Purine metabolism,Nucleotide metabolism,Imidazopyrimidines
imidazole lactate,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Azoles
imidazole propionate,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Azoles
indoleacetate,Amino Acid,Tryptophan Metabolism,Biosynthesis of plant hormones;Plant hormone signal transduction;Tryptophan metabolism,Amino acid metabolism;Chemical structure transformation maps;Signal transduction,Indoles and derivatives
indoleacetoylcarnitine*,Amino Acid,Tryptophan Metabolism,,,
indoleacetylglutamine,Amino Acid,Tryptophan Metabolism,,,Carboxylic acids and derivatives
indolelactate,Amino Acid,Tryptophan Metabolism,,,Indoles and derivatives
indolepropionylglycine,Amino Acid,Tryptophan Metabolism,,,Carboxylic acids and derivatives
inosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",,,Purine nucleosides
isobutyrylcarnitine (C4),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
isocaproylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),,,Carboxylic acids and derivatives
isoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism","Valine, leucine and isoleucine degradation;Mineral absorption;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Shigellosis;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Cyanoamino acid metabolism;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;2-Oxocarboxylic acid metabolism;ABC transporters;Glucosinolate biosynthesis;Protein digestion and absorption;Tropane, piperidine and pyridine alkaloid biosynthesis;Valine, leucine and isoleucine biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Infectious disease: bacterial;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Global and overview maps;Digestive system;Cancer: overview,Carboxylic acids and derivatives
isoleucylglycine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
isovalerylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
isovalerylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Carboxylic acids and derivatives
kynurenate,Amino Acid,Tryptophan Metabolism,Tryptophan metabolism,Amino acid metabolism,Quinolines and derivatives
kynurenine,Amino Acid,Tryptophan Metabolism,African trypanosomiasis;Tryptophan metabolism,Amino acid metabolism;Infectious disease: parasitic,Organooxygen compounds
L-urobilin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Tetrapyrroles and derivatives
lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",,,Hydroxy acids and derivatives
lactose,Carbohydrate,Disaccharides and Oligosaccharides,,,Organooxygen compounds
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,Lipid,Lactosylceramides (LCER),,,
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),Lipid,Lactosylceramides (LCER),,,Sphingolipids
lanthionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Carboxylic acids and derivatives
laurylcarnitine (C12),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",,,Fatty Acyls
leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism","Valine, leucine and isoleucine degradation;Mineral absorption;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Shigellosis;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;2-Oxocarboxylic acid metabolism;ABC transporters;Glucosinolate biosynthesis;Protein digestion and absorption;mTOR signaling pathway;Valine, leucine and isoleucine biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Infectious disease: bacterial;Chemical structure transformation maps;Membrane transport;Global and overview maps;Digestive system;Signal transduction;Cancer: overview,Carboxylic acids and derivatives
leucylalanine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
leucylglutamine*,Peptide,Dipeptide,,,Carboxylic acids and derivatives
leucylglycine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
lignoceroyl sphingomyelin (d18:1/24:0),Lipid,Sphingomyelins,,,
lysine,Amino Acid,Lysine Metabolism,"Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biotin metabolism;Lysine degradation;Biosynthesis of various secondary metabolites - part 3;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;ABC transporters;Lysine biosynthesis;Protein digestion and absorption;Tropane, piperidine and pyridine alkaloid biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Metabolism of cofactors and vitamins;Chemical structure transformation maps;Membrane transport;Global and overview maps;Digestive system,Carboxylic acids and derivatives
lysylleucine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
lyxonate,Carbohydrate,Pentose Metabolism,,,Organooxygen compounds
malate,Energy,TCA Cycle,,,Hydroxy acids and derivatives
maleate,Lipid,"Fatty Acid, Dicarboxylate",Nicotinate and nicotinamide metabolism;Tyrosine metabolism;Butanoate metabolism,Amino acid metabolism;Metabolism of cofactors and vitamins;Carbohydrate metabolism,Carboxylic acids and derivatives
malonate,Lipid,Fatty Acid Synthesis,Fatty acid metabolism;Fatty acid biosynthesis;beta-Alanine metabolism;Pyrimidine metabolism,Nucleotide metabolism;Metabolism of other amino acids;Global and overview maps;Lipid metabolism,Carboxylic acids and derivatives
malonylcarnitine,Lipid,Fatty Acid Synthesis,,,Fatty Acyls
maltol sulfate,Xenobiotics,Food Component/Plant,,,Pyrans
maltopentaose,Carbohydrate,Glycogen Metabolism,,,Organooxygen compounds
maltose,Carbohydrate,Glycogen Metabolism,,,Organooxygen compounds
maltotetraose,Carbohydrate,Glycogen Metabolism,,,Organooxygen compounds
maltotriose,Carbohydrate,Glycogen Metabolism,ABC transporters;Carbohydrate digestion and absorption;Starch and sucrose metabolism,Membrane transport;Digestive system;Carbohydrate metabolism,Organooxygen compounds
mannitol/sorbitol,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",Galactose metabolism;Phosphotransferase system (PTS);ABC transporters;Fructose and mannose metabolism,Membrane transport;Carbohydrate metabolism,Organooxygen compounds
mannonate*,Xenobiotics,Food Component/Plant,Pentose and glucuronate interconversions,Carbohydrate metabolism,Hydroxy acids and derivatives
mannose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Lysosome;Phosphotransferase system (PTS);ABC transporters;C-type lectin receptor signaling pathway;Fructose and mannose metabolism,Transport and catabolism;Membrane transport;Immune system;Carbohydrate metabolism,Organooxygen compounds
margaroylcarnitine (C17)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",,,Fatty Acyls
metformin,Xenobiotics,Drug - Metabolic,Bile secretion;AMPK signaling pathway;Longevity regulating pathway,Digestive system;Signal transduction;Aging,Organonitrogen compounds
methionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",Mineral absorption;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Cysteine and methionine metabolism;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;2-Oxocarboxylic acid metabolism;Glucosinolate biosynthesis;Biosynthesis of plant hormones;Protein digestion and absorption;Antifolate resistance,Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Chemical structure transformation maps;Drug resistance: antineoplastic;Global and overview maps;Digestive system;Cancer: overview,Carboxylic acids and derivatives
methionine sulfone,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Carboxylic acids and derivatives
methionine sulfoxide,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",Cysteine and methionine metabolism,Amino acid metabolism,Carboxylic acids and derivatives
methyl-4-hydroxybenzoate,Xenobiotics,Benzoate Metabolism,,,Benzene and substituted derivatives
methyl-4-hydroxybenzoate sulfate,Xenobiotics,Benzoate Metabolism,,,Organooxygen compounds
methylmalonate (MMA),Lipid,Fatty Acid Metabolism (also BCAA Metabolism),"Valine, leucine and isoleucine degradation;Propanoate metabolism;Pyrimidine metabolism",Amino acid metabolism;Nucleotide metabolism;Carbohydrate metabolism,Carboxylic acids and derivatives
methylphosphate,Nucleotide,Purine and Pyrimidine Metabolism,,,Organic phosphoric acids and derivatives
methylsuccinate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Fatty Acyls
mirtazapine,Xenobiotics,Drug - Psychoactive,,,Piperazinoazepines
myo-inositol,Lipid,Inositol Metabolism,Galactose metabolism;Inositol phosphate metabolism;Phosphatidylinositol signaling system;ABC transporters;Streptomycin biosynthesis;Ascorbate and aldarate metabolism,Biosynthesis of other secondary metabolites;Membrane transport;Signal transduction;Carbohydrate metabolism,Organooxygen compounds
myristoleoylcarnitine (C14:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",,,Fatty Acyls
myristoylcarnitine (C14),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",,,Fatty Acyls
N(1)-acetylspermine,Amino Acid,Polyamine Metabolism,,,Carboximidic acids and derivatives
"N,N,N-trimethyl-5-aminovalerate",Amino Acid,Lysine Metabolism,,,Fatty Acyls
"N,N,N-trimethyl-alanylproline betaine (TMAP)",Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,
"N,N-dimethyl-pro-pro",Peptide,Modified Peptides,,,
N-(2-furoyl)glycine,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
N-(2-hydroxypalmitoyl)-sphingosine (d18:1/16:0(2OH)),Lipid,Ceramides,,,Organooxygen compounds
N-acetyl-1-methylhistidine*,Amino Acid,Histidine Metabolism,,,Carboxylic acids and derivatives
N-acetyl-2-aminooctanoate*,Lipid,"Fatty Acid, Amino",,,Carboxylic acids and derivatives
N-acetyl-3-methylhistidine*,Amino Acid,Histidine Metabolism,,,Carboxylic acids and derivatives
N-acetyl-aspartyl-glutamate (NAAG),Amino Acid,Glutamate Metabolism,"Alanine, aspartate and glutamate metabolism;Neuroactive ligand-receptor interaction",Signaling molecules and interaction;Amino acid metabolism,Carboxylic acids and derivatives
N-acetyl-cadaverine,Amino Acid,Lysine Metabolism,,,Carboxylic acids and derivatives
N-acetyl-isoputreanine,Amino Acid,Polyamine Metabolism,,,Carboxylic acids and derivatives
n-Acetyl-s-(2-hydroxypropyl)cysteine,Xenobiotics,Chemical,,,Carboxylic acids and derivatives
N-acetyl-S-allyl-L-cysteine,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
N-acetylalanine,Amino Acid,Alanine and Aspartate Metabolism,,,Carboxylic acids and derivatives
N-acetylalliin,Xenobiotics,Food Component/Plant,,,Carboxylic acids and derivatives
N-acetylarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
N-acetylasparagine,Amino Acid,Alanine and Aspartate Metabolism,,,Carboxylic acids and derivatives
N-acetylaspartate (NAA),Amino Acid,Alanine and Aspartate Metabolism,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Carboxylic acids and derivatives
N-acetylcitrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,Biosynthesis of amino acids;Arginine biosynthesis,Amino acid metabolism;Global and overview maps,Carboxylic acids and derivatives
N-acetylcysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Carboxylic acids and derivatives
N-acetylglucosamine/N-acetylgalactosamine,Carbohydrate,Aminosugar Metabolism,Amino sugar and nucleotide sugar metabolism;Phosphotransferase system (PTS);ABC transporters,Membrane transport;Carbohydrate metabolism,Organooxygen compounds
N-acetylglucosaminylasparagine,Carbohydrate,Aminosugar Metabolism,,,Carboxylic acids and derivatives
N-acetylglutamate,Amino Acid,Glutamate Metabolism,Biosynthesis of amino acids;Arginine biosynthesis;2-Oxocarboxylic acid metabolism,Amino acid metabolism;Global and overview maps,Carboxylic acids and derivatives
N-acetylglutamine,Amino Acid,Glutamate Metabolism,,,Carboxylic acids and derivatives
N-acetylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",,,Carboxylic acids and derivatives
N-acetylhistamine,Amino Acid,Histidine Metabolism,Histidine metabolism,Amino acid metabolism,Carboxylic acids and derivatives
N-acetylhistidine,Amino Acid,Histidine Metabolism,,,Carboxylic acids and derivatives
N-acetylhomocitrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,
N-acetylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Carboxylic acids and derivatives
N-acetylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Carboxylic acids and derivatives
N-acetylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Carboxylic acids and derivatives
N-acetylmethionine sulfoxide,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Carboxylic acids and derivatives
N-acetylneuraminate,Carbohydrate,Aminosugar Metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Organooxygen compounds
N-acetylphenylalanine,Amino Acid,Phenylalanine Metabolism,Phenylalanine metabolism,Amino acid metabolism,Carboxylic acids and derivatives
N-acetylputrescine,Amino Acid,Polyamine Metabolism,Arginine and proline metabolism,Amino acid metabolism,Carboximidic acids and derivatives
N-acetylpyrraline,Xenobiotics,Food Component/Plant,,,
N-acetylserine,Amino Acid,"Glycine, Serine and Threonine Metabolism",,,Carboxylic acids and derivatives
N-acetyltaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,,Organic sulfonic acids and derivatives
N-acetylthreonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",,,Carboxylic acids and derivatives
N-acetyltryptophan,Amino Acid,Tryptophan Metabolism,,,Carboxylic acids and derivatives
N-acetyltyrosine,Amino Acid,Tyrosine Metabolism,,,Carboxylic acids and derivatives
N-acetylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Carboxylic acids and derivatives
N-formylkynurenine,Amino Acid,Tryptophan Metabolism,,,Organooxygen compounds
N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",Cysteine and methionine metabolism,Amino acid metabolism,Carboxylic acids and derivatives
N-formylphenylalanine,Amino Acid,Tyrosine Metabolism,,,Carboxylic acids and derivatives
N-methylhydroxyproline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
N-methylproline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
N-palmitoyl-sphinganine (d18:0/16:0),Lipid,Dihydroceramides,,,Sphingolipids
N-palmitoyl-sphingosine (d18:1/16:0),Lipid,Ceramides,,,Sphingolipids
"N1,N12-diacetylspermine",Amino Acid,Polyamine Metabolism,,,Carboximidic acids and derivatives
N1-Methyl-2-pyridone-5-carboxamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Nicotinate and nicotinamide metabolism,Metabolism of cofactors and vitamins,Pyridines and derivatives
N1-Methyl-4-pyridone-3-carboxamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Nicotinate and nicotinamide metabolism,Metabolism of cofactors and vitamins,Pyridines and derivatives
1-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",,,Purine nucleosides
N1-methylinosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",,,Imidazopyrimidines
"N2,N2-dimethylguanosine",Nucleotide,"Purine Metabolism, Guanine containing",,,Purine nucleosides
"N2,N5-diacetylornithine",Amino Acid,Urea cycle; Arginine and Proline Metabolism,,,Carboxylic acids and derivatives
"N2-acetyl,N6-methyllysine",Amino Acid,Lysine Metabolism,,,
N2-methylguanosine,Nucleotide,"Purine Metabolism, Guanine containing",,,Purine nucleosides
"N6,N6,N6-trimethyllysine",Amino Acid,Lysine Metabolism,Lysine degradation,Amino acid metabolism,Carboxylic acids and derivatives
"N6,N6-dimethyllysine",Amino Acid,Lysine Metabolism,,,Carboxylic acids and derivatives
N6-carbamoylthreonyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",,,Purine nucleosides
N6-carboxymethyllysine,Carbohydrate,Advanced Glycation End-product,,,Carboxylic acids and derivatives
N6-methyllysine,Amino Acid,Lysine Metabolism,,,Carboxylic acids and derivatives
naringenin 7-glucuronide,Xenobiotics,Food Component/Plant,,,Flavonoids
nicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Vitamin digestion and absorption;Nicotinate and nicotinamide metabolism;Longevity regulating pathway - worm,Metabolism of cofactors and vitamins;Digestive system;Aging,Pyridines and derivatives
NAD+,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,,,(5'->5')-dinucleotides
NADH,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Oxidative phosphorylation;Calcium signaling pathway;Aldosterone synthesis and secretion;Thermogenesis,Endocrine system;Environmental adaptation;Signal transduction;Energy metabolism,(5'->5')-dinucleotides
nicotinamide riboside,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,Nicotinate and nicotinamide metabolism;Longevity regulating pathway - worm,Metabolism of cofactors and vitamins;Aging,Organooxygen compounds
nicotinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;Pertussis;Tropane, piperidine and pyridine alkaloid biosynthesis",Biosynthesis of other secondary metabolites;Infectious disease: bacterial;Metabolism of cofactors and vitamins;Chemical structure transformation maps,Pyridines and derivatives
norcotinine,Xenobiotics,Tobacco Metabolite,,,Pyridines and derivatives
o-cresol sulfate,Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
O-methyltyrosine,Amino Acid,Tyrosine Metabolism,,,Phenylpropanoic acids
O-sulfo-L-tyrosine,Xenobiotics,Chemical,,,Carboxylic acids and derivatives
o-Tyrosine,Amino Acid,Tyrosine Metabolism,,,Carboxylic acids and derivatives
octanoylcarnitine (C8),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",,,Fatty Acyls
oleoylcarnitine (C18:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",,,Fatty Acyls
ondansetron,Xenobiotics,Drug - Gastrointestinal,,,Indoles and derivatives
ornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,"Biosynthesis of amino acids;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of various secondary metabolites - part 3;Biosynthesis of plant secondary metabolites;D-Arginine and D-ornithine metabolism;Arginine biosynthesis;2-Oxocarboxylic acid metabolism;ABC transporters;Arginine and proline metabolism;Glutathione metabolism",Amino acid metabolism;Biosynthesis of other secondary metabolites;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Global and overview maps,Carboxylic acids and derivatives
orotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",Pyrimidine metabolism,Nucleotide metabolism,Diazines
orotidine,Nucleotide,"Pyrimidine Metabolism, Orotate containing",,,Pyrimidine nucleosides
p-cresol glucuronide*,Amino Acid,Tyrosine Metabolism,,,Organooxygen compounds
p-cresol sulfate,Xenobiotics,Benzoate Metabolism,,,Organic sulfuric acids and derivatives
palmitoleoylcarnitine (C16:1)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",,,Fatty Acyls
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Lipid,Dihydrosphingomyelins,,,Sphingolipids
palmitoyl sphingomyelin (d18:1/16:0),Lipid,Sphingomyelins,,,Sphingolipids
palmitoylcarnitine (C16),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",,,Fatty Acyls
pantoate,Cofactors and Vitamins,Pantothenate and CoA Metabolism,,,Fatty Acyls
pantothenate (Vitamin B5),Cofactors and Vitamins,Pantothenate and CoA Metabolism,Vitamin digestion and absorption;Pantothenate and CoA biosynthesis;beta-Alanine metabolism,Metabolism of cofactors and vitamins;Metabolism of other amino acids;Digestive system,Carboxylic acids and derivatives
pentose acid*,Partially Characterized Molecules,Partially Characterized Molecules,,,Fatty Acyls
phenethylamine,Amino Acid,Phenylalanine Metabolism,Phenylalanine metabolism,Amino acid metabolism,Benzene and substituted derivatives
phenol sulfate,Amino Acid,Tyrosine Metabolism,,,Organic sulfuric acids and derivatives
phentermine,Xenobiotics,Drug - Neurological,,,Benzene and substituted derivatives
phenylacetylglutamate,Peptide,Acetylated Peptides,,,Carboxylic acids and derivatives
phenylacetylglutamine,Peptide,Acetylated Peptides,Phenylalanine metabolism,Amino acid metabolism,Carboxylic acids and derivatives
phenylacetylglycine,Peptide,Acetylated Peptides,Phenylalanine metabolism,Amino acid metabolism,Carboxylic acids and derivatives
phenylacetylthreonine,Peptide,Acetylated Peptides,,,
phenylalanine,Amino Acid,Phenylalanine Metabolism,"Mineral absorption;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of amino acids;Aminoacyl-tRNA biosynthesis;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of various secondary metabolites - part 2;Cyanoamino acid metabolism;Biosynthesis of plant secondary metabolites;Central carbon metabolism in cancer;2-Oxocarboxylic acid metabolism;ABC transporters;Glucosinolate biosynthesis;Biosynthesis of plant hormones;Protein digestion and absorption;Biosynthesis of phenylpropanoids;Tropane, piperidine and pyridine alkaloid biosynthesis;Phenylalanine metabolism;Biosynthesis of alkaloids derived from shikimate pathway;Phenylpropanoid biosynthesis",Amino acid metabolism;Biosynthesis of other secondary metabolites;Translation;Chemical structure transformation maps;Metabolism of other amino acids;Membrane transport;Global and overview maps;Digestive system;Cancer: overview,Carboxylic acids and derivatives
phenylalanylalanine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
phenylalanylglycine,Peptide,Dipeptide,,,Carboxylic acids and derivatives
